,Beta,ROI,Subj,Condition,Volume
144,0.0993539,PPA,512,FH,19
145,0.114971,PPA,512,FH,20
146,-0.0395264,PPA,512,FH,21
147,-0.0393076,PPA,512,Fo,1
148,0.0991667,PPA,512,Fo,2
149,-0.0413621,PPA,512,Fo,3
150,0.235005,PPA,512,Fo,4
151,0.386541,PPA,512,Fo,5
152,0.211417,PPA,512,Fo,6
153,0.232016,PPA,512,Fo,7
154,0.274184,PPA,512,Fo,8
155,0.131962,PPA,512,Fo,9
156,0.122709,PPA,512,Fo,10
157,0.213908,PPA,512,Fo,11
158,0.203662,PPA,512,Fo,12
159,0.146855,PPA,512,Fo,13
160,0.107731,PPA,512,Fo,14
161,0.146017,PPA,512,Fo,15
162,0.226321,PPA,512,Fo,16
163,0.0949824,PPA,512,Fo,17
164,0.117018,PPA,512,Fo,18
165,-0.0370391,PPA,512,Fo,19
166,0.0422314,PPA,512,Fo,20
167,0.101848,PPA,512,Fo,21
168,-0.119508,PPA,512,Fp,1
169,0.0408246,PPA,512,Fp,2
170,-0.0415567,PPA,512,Fp,3
171,0.130255,PPA,512,Fp,4
172,0.197851,PPA,512,Fp,5
173,0.155852,PPA,512,Fp,6
174,0.0997974,PPA,512,Fp,7
175,0.0379542,PPA,512,Fp,8
176,-0.00280974,PPA,512,Fp,9
177,0.0653023,PPA,512,Fp,10
178,0.043678,PPA,512,Fp,11
179,-0.0356252,PPA,512,Fp,12
180,-0.0184034,PPA,512,Fp,13
181,0.0352621,PPA,512,Fp,14
182,0.0932716,PPA,512,Fp,15
183,0.0492525,PPA,512,Fp,16
184,0.0598622,PPA,512,Fp,17
185,0.11339,PPA,512,Fp,18
186,-0.0160734,PPA,512,Fp,19
187,-0.0102881,PPA,512,Fp,20
188,0.149518,PPA,512,Fp,21
189,-0.0544952,PPA,512,HF,1
190,-0.0389925,PPA,512,HF,2
191,0.06241,PPA,512,HF,3
192,0.18638,PPA,512,HF,4
193,0.40842,PPA,512,HF,5
194,0.469837,PPA,512,HF,6
195,0.45788,PPA,512,HF,7
196,0.383408,PPA,512,HF,8
197,0.278094,PPA,512,HF,9
198,0.302014,PPA,512,HF,10
199,0.333967,PPA,512,HF,11
200,0.363889,PPA,512,HF,12
201,0.339395,PPA,512,HF,13
202,0.241092,PPA,512,HF,14
203,0.258095,PPA,512,HF,15
204,0.113058,PPA,512,HF,16
205,0.0272814,PPA,512,HF,17
206,-0.137705,PPA,512,HF,18
207,-0.0897951,PPA,512,HF,19
208,-0.201028,PPA,512,HF,20
209,-0.12022,PPA,512,HF,21
210,0.0151023,PPA,512,Ho,1
211,0.0418981,PPA,512,Ho,2
212,0.0306634,PPA,512,Ho,3
213,0.345058,PPA,512,Ho,4
214,0.388921,PPA,512,Ho,5
215,0.684505,PPA,512,Ho,6
216,0.573903,PPA,512,Ho,7
217,0.507032,PPA,512,Ho,8
218,0.394507,PPA,512,Ho,9
219,0.365921,PPA,512,Ho,10
220,0.440218,PPA,512,Ho,11
221,0.435932,PPA,512,Ho,12
222,0.379199,PPA,512,Ho,13
223,0.354019,PPA,512,Ho,14
224,0.311767,PPA,512,Ho,15
225,0.177738,PPA,512,Ho,16
226,0.0220089,PPA,512,Ho,17
227,-0.0742749,PPA,512,Ho,18
228,-0.0835699,PPA,512,Ho,19
229,0.0219381,PPA,512,Ho,20
230,-0.0800228,PPA,512,Ho,21
231,-0.2134,PPA,512,Hp,1
232,-0.223127,PPA,512,Hp,2
233,-0.103033,PPA,512,Hp,3
234,0.129634,PPA,512,Hp,4
235,0.399331,PPA,512,Hp,5
236,0.312937,PPA,512,Hp,6
237,0.332336,PPA,512,Hp,7
238,0.345801,PPA,512,Hp,8
239,0.350243,PPA,512,Hp,9
240,0.356532,PPA,512,Hp,10
241,0.329716,PPA,512,Hp,11
242,0.277038,PPA,512,Hp,12
243,0.296567,PPA,512,Hp,13
244,0.36745,PPA,512,Hp,14
245,0.379958,PPA,512,Hp,15
246,0.410242,PPA,512,Hp,16
247,0.244342,PPA,512,Hp,17
248,0.0514994,PPA,512,Hp,18
249,0.0790006,PPA,512,Hp,19
250,-0.0866902,PPA,512,Hp,20
251,0.0903873,PPA,512,Hp,21
252,-0.0147795,FFA,513,FH,1
253,0.0252213,FFA,513,FH,2
254,0.146094,FFA,513,FH,3
255,0.264613,FFA,513,FH,4
256,0.377461,FFA,513,FH,5
257,0.470301,FFA,513,FH,6
258,0.41173,FFA,513,FH,7
259,0.444092,FFA,513,FH,8
260,0.487433,FFA,513,FH,9
261,0.498173,FFA,513,FH,10
262,0.563879,FFA,513,FH,11
263,0.645551,FFA,513,FH,12
264,0.639403,FFA,513,FH,13
265,0.644841,FFA,513,FH,14
266,0.694301,FFA,513,FH,15
267,0.537261,FFA,513,FH,16
268,0.474142,FFA,513,FH,17
269,0.706401,FFA,513,FH,18
270,0.514009,FFA,513,FH,19
271,0.312579,FFA,513,FH,20
272,0.0945583,FFA,513,FH,21
273,0.266257,FFA,513,Fo,1
274,0.286404,FFA,513,Fo,2
275,0.30959,FFA,513,Fo,3
276,0.397311,FFA,513,Fo,4
277,0.422204,FFA,513,Fo,5
278,0.508686,FFA,513,Fo,6
279,0.591948,FFA,513,Fo,7
280,0.497627,FFA,513,Fo,8
281,0.467505,FFA,513,Fo,9
282,0.493403,FFA,513,Fo,10
283,0.521726,FFA,513,Fo,11
284,0.648995,FFA,513,Fo,12
285,0.752015,FFA,513,Fo,13
286,0.751523,FFA,513,Fo,14
287,0.76286,FFA,513,Fo,15
288,0.654259,FFA,513,Fo,16
289,0.65138,FFA,513,Fo,17
290,0.575121,FFA,513,Fo,18
291,0.361454,FFA,513,Fo,19
292,0.0258965,FFA,513,Fo,20
293,-0.0306619,FFA,513,Fo,21
294,0.0520221,FFA,513,Fp,1
295,-0.204382,FFA,513,Fp,2
296,-0.160185,FFA,513,Fp,3
297,0.180649,FFA,513,Fp,4
298,0.327105,FFA,513,Fp,5
299,0.421029,FFA,513,Fp,6
300,0.446537,FFA,513,Fp,7
301,0.448976,FFA,513,Fp,8
302,0.371141,FFA,513,Fp,9
303,0.292826,FFA,513,Fp,10
304,0.251051,FFA,513,Fp,11
305,0.228368,FFA,513,Fp,12
306,0.222448,FFA,513,Fp,13
307,0.259849,FFA,513,Fp,14
308,0.294088,FFA,513,Fp,15
309,0.183056,FFA,513,Fp,16
310,0.229674,FFA,513,Fp,17
311,0.467266,FFA,513,Fp,18
312,0.328827,FFA,513,Fp,19
313,0.299428,FFA,513,Fp,20
314,0.176346,FFA,513,Fp,21
315,-0.225533,FFA,513,HF,1
316,-0.0135936,FFA,513,HF,2
317,-0.0358067,FFA,513,HF,3
318,0.0117556,FFA,513,HF,4
319,0.106064,FFA,513,HF,5
320,0.247836,FFA,513,HF,6
321,0.260514,FFA,513,HF,7
322,0.201488,FFA,513,HF,8
323,0.247213,FFA,513,HF,9
324,0.292991,FFA,513,HF,10
325,0.372118,FFA,513,HF,11
326,0.350062,FFA,513,HF,12
327,0.255499,FFA,513,HF,13
328,0.32224,FFA,513,HF,14
329,0.321795,FFA,513,HF,15
330,0.281523,FFA,513,HF,16
331,0.44655,FFA,513,HF,17
332,0.472463,FFA,513,HF,18
333,0.247611,FFA,513,HF,19
334,-0.0178831,FFA,513,HF,20
335,-0.250521,FFA,513,HF,21
336,0.587536,FFA,513,Ho,1
337,-0.160273,FFA,513,Ho,2
