,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.171319067478,0.194358766079,-0.279829204082,-0.867979725357
1,505,0.00175100564957,-0.0127888917923,0.0470069050789,-0.212127625942
2,508,0.484357044101,1.020323053,0.113851249218,-0.251488387585
3,509,0.0101808309555,0.0469505190849,0.0384104847908,-0.418131738901
4,510,0.0875816345215,0.0082129240036,0.0344812870026,0.132112026215
5,512,0.623808830976,0.38904735446,0.00903415679932,0.0144764184952
6,513,0.00663858652115,-0.0362958312035,0.0117437839508,-0.0226786732674
7,516,-0.0509184002876,-0.0393821001053,0.0938076376915,-0.0514283180237
8,517,0.101881355047,0.324163049459,-0.0366761386395,0.331176877022
9,518,0.402701824903,0.244873791933,0.576254814863,-0.351161643863
10,519,-0.244699418545,-0.0160812139511,0.479056835175,-0.106172204018
11,523,1.30681189895,1.32064673305,0.222969532013,-0.549737900496
12,527,0.180609107018,0.156718850136,0.0517178177834,0.0555542707443
13,528,0.170355021954,0.200380802155,0.0864523649216,-0.357429862022
14,529,0.0447132587433,0.0246893167496,0.198958992958,-0.188588678837
15,530,0.178837835789,0.135643482208,0.0630179047585,-0.218723416328
16,531,0.274613529444,0.730575621128,0.435653910041,0.540996178985
17,532,0.0317648053169,0.237929821014,0.0346428155899,-0.00166630744934
18,534,0.0186226963997,-0.0272732973099,-0.0110356211662,-0.443080484867
19,536,0.0177462100983,0.00401985645294,-0.149739712477,-0.171854823828
20,537,0.188644647598,0.167864978313,-0.0442014336586,-0.70982413739
21,539,0.154969334602,0.1624994874,-0.0906674861908,0.000128000974655
22,540,-0.194433927536,0.126901984215,0.257682532072,0.00578275322914
23,542,0.36541223526,-0.847506433725,-0.0798196196556,0.0150517225266
24,546,0.0318279862404,0.019681930542,0.0399713516235,-0.0771294236183
25,547,0.0290381908417,0.0486948490143,-0.09596991539,-0.253824830055
26,549,-0.806590726832,0.00295072793961,0.0273953080177,-0.191424906254
27,550,0.114621937275,0.0899949669838,0.437221437693,0.399115175009
