,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.0495982170105,0.0906559228897,-0.0479130744934,-0.507742166519
1,505,-0.107254266739,-0.123603641987,0.0760126560926,0.187329575419
2,508,0.182851850986,0.186393558979,0.0754159092903,-0.188111662865
3,509,-0.101404368877,0.0233607888222,-0.0141315460205,-0.24731117487
4,510,0.800839722157,0.263273593038,0.0430639386177,-0.119062542915
5,512,0.0909237265587,0.0744785666466,-0.0274393558502,-0.00919169187546
6,513,-0.0579135417938,-0.0844292640686,0.10074788332,-0.10837584734
7,516,-0.348073303699,-0.169252038002,0.0912635326385,-0.307247281075
8,517,0.0511482357979,0.00345432758331,-0.0902808308601,-0.122819185257
9,518,0.103266596794,0.0617931485176,0.00423091650009,-0.251268088818
10,519,0.135558843613,0.00360673666,0.117746651173,-0.218450605869
11,523,0.640128389001,0.720065250993,0.0680106878281,0.0474963188171
12,527,0.0500018596649,0.0881589651108,-0.0734896063805,-0.0486328601837
13,528,-0.000314831733704,-0.026001393795,0.00207155942917,-0.220396399498
14,529,0.0313180685043,0.0561303496361,0.0866228938103,0.0735816955566
15,530,-0.0360233783722,-0.124673724174,0.0671575665474,-0.320523679256
16,531,-0.0727387666702,0.193056583405,0.0749899148941,0.0168601870537
17,532,-0.0804190635681,-0.158506035805,0.174931943417,-0.235293030739
18,534,-0.0774048566818,-0.313730955124,-0.208018124104,-0.379690527916
