,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,-0.129407763481,0.106333851814,-0.282813727856,0.115009516478
1,505,-0.235459446907,-0.644637778401,-0.043862786144,-0.0934441778809
2,508,0.0489992499352,0.124204218388,0.13690674305,-0.352597564459
3,509,-0.303036651108,0.205906569958,0.170118749142,0.230276405811
4,510,0.0435815751553,-0.245994508266,-0.231779694557,0.0104547142982
5,512,-0.262113571167,-0.267454922199,-0.1873485744,-0.0639787316322
6,513,0.0138216614723,0.0487678647041,0.0673484802246,-0.0733683109283
7,516,-0.44575291872,-0.254775226116,0.0788151025772,-0.288591206074
8,517,0.178029716015,-0.0869031511247,0.0423963665962,-0.0333933532238
9,518,-0.311186432838,0.00221651792526,-0.291187286377,-0.724246911705
10,519,0.135611474514,-0.0184759497643,0.268696576357,-0.0465997755527
11,523,1.10536688566,1.15683060884,0.305196970701,0.258302539587
12,527,0.0422342419624,-0.0262250900269,-0.012949347496,-0.0216248035431
13,528,-0.318748533726,-0.000758051872253,-0.0192202329636,-0.113884925842
14,529,0.0845047235489,0.0750799179077,-0.0309599637985,-0.175796419382
15,530,0.184204101562,-0.119041085243,0.201335281134,-0.146275956184
16,531,-0.338585093617,0.0177909731865,-0.412549093366,-0.212770074606
17,532,-0.111168086529,-0.0611220002174,0.269699752331,0.134239852428
18,534,-0.22542488575,-0.234011948109,-0.315702527761,-0.233333051205
