,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.0714151263237,0.0960996747017,-0.0832211375237,-0.703512467444
1,505,-0.104626893997,-0.267427146435,0.221474031161,0.245564142417
2,508,0.0785418748856,0.118366599083,0.145688593388,0.0319690704346
3,509,0.100828111172,0.118281364441,-0.0392018556595,-0.383507788181
4,510,0.627972379327,0.636120811105,-0.14330303669,-0.0526203215122
5,512,0.259200930595,-0.373199462891,-0.395207762718,0.018322467804
6,513,-0.0164026021957,-0.299852073193,0.063619852066,-0.0966426134109
7,516,-0.212271988392,-0.369833171368,0.193388402462,-0.333517163992
8,517,0.081841558218,-0.0701917111874,0.129024416208,-0.16533780098
9,518,0.0211240053177,-0.0320346951485,-0.0675075650215,-0.746859274805
10,519,-0.175137221813,-0.325043082237,0.0227985978127,-0.42145383358
11,523,0.808095283806,0.644139833748,0.33323559165,0.360249370337
12,527,0.0838028788567,0.0818926095963,-0.00770592689514,-0.131206929684
13,528,-0.120547711849,-0.0676655769348,0.00102573633194,-0.138891637325
14,529,-0.172706484795,-0.201549738646,0.0751050710678,-0.0624096095562
15,530,-0.016220331192,-0.0506942868233,-0.0521359443665,0.0276342630386
16,531,-0.0396230220795,0.161632865667,-0.031034886837,-0.132927298546
17,532,0.099964261055,-0.269952923059,0.126703679562,-0.11322426796
18,534,-0.196219027042,-0.30714815855,-0.287560194731,-0.345806837082
