,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.0481635332108,0.0234269499779,1.07620748878,0.655148178339
1,505,-0.0378524661064,-0.085869550705,0.240815013647,0.065022110939
2,508,0.0858638882637,0.104059934616,0.272563278675,0.0807563662529
3,509,0.0971297621727,0.140167951584,0.173876821995,-0.0504581928253
4,510,0.912455826998,0.603540956974,0.0874441862106,0.00488609075546
5,512,0.0190207362175,-0.182670593262,0.454293727875,0.451045453548
6,513,0.0355727672577,-0.0359188318253,0.128165781498,0.00956308841705
7,516,-0.253669977188,-0.107692301273,0.161381185055,-0.0549687147141
8,517,0.0599331855774,-0.0350062847137,0.101367592812,0.0887331962585
9,518,0.0787640213966,0.064809679985,0.732549488544,0.371122837067
10,519,-0.036255300045,0.014041364193,0.540394604206,0.330054342747
11,523,0.729987174273,0.74384149909,0.107704818249,0.0821145772934
12,527,0.0262704491615,0.0145537853241,0.653275668621,0.690493643284
13,528,0.0548864006996,0.0249730348587,0.577868163586,0.357062458992
14,529,0.0211015939713,-0.011602640152,0.196458995342,0.177278280258
15,530,0.0277184844017,-0.0438423752785,0.352493643761,-0.148655831814
16,531,0.0668643862009,0.334817543626,0.291468530893,0.267233580351
17,532,0.00264966487885,-0.0771958231926,0.480678886175,0.308458000422
18,534,-0.125923097134,-0.302755773067,0.331406235695,-0.0421089828014
