,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.0335133671761,0.0720039606094,-0.353040844202,-0.442507505417
1,505,-0.160273194313,-0.202466487885,0.640484288335,0.281844422221
2,508,0.114857852459,0.100484311581,0.111594855785,-0.19897800684
3,509,-0.197983503342,-0.174355477095,-0.147569596767,-0.168441772461
4,510,0.173736408353,0.419988438487,-0.267455101013,0.00353807210922
5,512,0.0841151475906,-0.380829606205,-0.409062892199,0.0485067367554
6,513,-0.020864546299,-0.217173874378,0.136992037296,-0.26300483942
7,516,-0.165798664093,-0.0364571213722,0.192010700703,-0.233385980129
8,517,-0.039343893528,-0.160474002361,-0.215353488922,-0.130980849266
9,518,-0.0876483917236,-0.167102992535,-0.154522240162,-0.376190811396
10,519,-0.259578227997,-0.0862317085266,0.0193207263947,-0.306899607182
11,523,0.268610596657,0.312970161438,0.0767417103052,0.18573077023
12,527,0.131350755692,0.115749835968,0.0348374247551,-0.0454960465431
13,528,-0.256437122822,-0.386207282543,0.012492120266,-0.187385320663
14,529,-0.199113339186,0.0260406136513,0.274908006191,0.17098480463
15,530,0.0921760797501,-0.00406801700592,-0.103992760181,-0.834099553525
16,531,0.395452756435,0.452674854547,0.0589193701744,0.136871874332
17,532,0.0795140266418,-0.271478824317,-0.00283324718475,-0.192847698927
18,534,-0.176171064377,-0.198794960976,-0.378067016602,-0.312199689448
